system:index,OpportunityScore,centroid_lat,centroid_lon,mean_builtup,mean_growth,ward_id,ward_name,.geo,GymCount,CafeCount,OpportunityScore,GymNorm,CafeNorm,Final_Balanced
11,0.0607257,13.0107398,77.69691294,0.0376906,0.0760825,14,14 - K.R Pura,"{""type"":""Point"",""coordinates"":[77.69691293813221,13.010739803445862]}",5,8,0.0607257,0.6,0.666666666666667,0.229174656666667
13,0.0522454,12.84839354,77.58161372,0.0840731,0.0310269,39,39 - Gottigere,"{""type"":""Point"",""coordinates"":[77.58161372012756,12.848393540250953]}",4,2,0.0522454,0.4,0,0.11657178
27,0.0439585,13.01098675,77.61463169,0.111892,-0.0013307,45,45 - Kushal Nagar,"{""type"":""Point"",""coordinates"":[77.61463169221157,13.01098675155774]}",6,8,0.0439585,0.8,0.666666666666667,0.257437616666667
000000000000000000df,0.0414636,12.9705393,77.57827775,0.105786,-0.00141813,58,58 - Chickpete,"{""type"":""Point"",""coordinates"":[77.57827775262312,12.97053929805734]}",5,9,0.0414636,0.6,0.777777777777778,0.226802297777778
0000000000000000003c,0.0390866,12.96457746,77.55113646,0.103283,-0.00371072,52,52 - Padarayanapura,"{""type"":""Point"",""coordinates"":[77.55113646332467,12.964577461247556]}",7,11,0.0390866,1,1,0.32736062
94,0.0389185,12.87657197,77.6455714,0.0614956,0.0238671,66,66 - Singasandra,"{""type"":""Point"",""coordinates"":[77.64557140356985,12.876571968602478]}",4,6,0.0389185,0.4,0.444444444444444,0.151687394444444
37,0.0387855,13.03123355,77.61683538,0.085498,0.00764381,25,25 - Govindapura,"{""type"":""Point"",""coordinates"":[77.61683538226481,13.031233546131181]}",5,4,0.0387855,0.6,0.222222222222222,0.169372072222222
0000000000000000013a,0.037572,13.01963259,77.62105407,0.089696,0.0028227,27,27 - K.G.Halli,"{""type"":""Point"",""coordinates"":[77.62105407183937,13.019632590962807]}",3,3,0.037572,0.2,0.111111111111111,0.0774115111111111
0000000000000000003b,0.0369939,13.01287989,77.61229324,0.104322,-0.00789154,41,41 - Periyar Nagar,"{""type"":""Point"",""coordinates"":[77.6122932399186,13.012879885152588]}",5,3,0.0369939,0.6,0.111111111111111,0.157006841111111
000000000000000000c9,0.0368258,12.9817573,77.52455934,0.0796509,0.00827565,72,72 - Kaveripura,"{""type"":""Point"",""coordinates"":[77.52455933922184,12.98175729756391]}",3,2,0.0368258,0.2,0,0.06577806
0,0.0366731,12.95229879,77.61481604,0.0907031,0.000653188,28,28 - Neelasandra,"{""type"":""Point"",""coordinates"":[77.61481604294575,12.952298792752478]}",2,5,0.0366731,0,0.333333333333333,0.0590045033333333
000000000000000000fa,0.0364419,12.99891327,77.74379765,0.0531314,0.0253156,30,30 - Belathur,"{""type"":""Point"",""coordinates"":[77.74379764601393,12.998913272102394]}",6,2,0.0364419,0.8,0,0.18550933
