listing_id,title,locality,city,domain_type,monthly_rent,area_sqft,price_per_sqft,listing_url,image_url
mb_p1_i0,Shop for Rent in HAL Old Airport Road Bangalore,HAL Old Airport Road,Bengaluru,Retail,4000000.0,40000.0,100.0,,
mb_p1_i1,Showroom for Rent in Bennigana Halli Bangalore,Bennigana Halli,Bengaluru,Retail,5200000.0,36000.0,144.44,,
mb_p1_i2,Showroom for Rent in Lavelle Road Bangalore,Lavelle Road,Bengaluru,Retail,580000.0,2300.0,252.17,,
mb_p1_i3,Shop for Rent in Phase 6 JP Nagar Bangalore,Phase 6 JP Nagar,Bengaluru,Retail,150000.0,1700.0,88.24,,
mb_p1_i4,Showroom for Rent in Block 4 Koramangala Bangalore,Block 4 Koramangala,Bengaluru,Retail,190000.0,1000.0,190.0,,
mb_p1_i5,Showroom for Rent in Hsr Layout Bangalore,Hsr Layout,Bengaluru,Retail,2000000.0,4000.0,500.0,,
mb_p1_i6,Showroom for Rent in Whitefield Main Road Bangalore,Whitefield Main Road,Bengaluru,Retail,450000.0,4500.0,100.0,,
mb_p1_i7,Showroom for Rent in Vasanth Nagar Bangalore,Vasanth Nagar,Bengaluru,Retail,509999.99999999994,3000.0,170.0,,
mb_p1_i8,"Showroom for Rent in SBR Earth and Sky, Whitefield Bangalore",SBR Earth and Sky,Bengaluru,Retail,560000.0,4000.0,140.0,,
mb_p1_i9,Shop for Rent in Sector 1st HSR Layout Bangalore,Sector 1st HSR Layout,Bengaluru,Retail,290000.0,1900.0,152.63,,
mb_p1_i10,Showroom for Rent in Block 2nd HRBR Layout Bangalore,Block 2nd HRBR Layout,Bengaluru,Retail,229999.99999999997,850.0,270.59,,
mb_p1_i11,"Showroom for Rent in Project HSR Layout, Hsr Layout Bangalore",Project HSR Layout,Bengaluru,Retail,250000.0,2000.0,125.0,,
mb_p1_i12,Showroom for Rent in Basaveshwar Nagar Bangalore,Basaveshwar Nagar,Bengaluru,Retail,200000.0,2300.0,86.96,,
mb_p1_i13,"Showroom for Rent in Richmond Town, Richmond Town Bangalore",Richmond Town,Bengaluru,Retail,930000.0000000001,4656.0,199.74,,
mb_p1_i14,Shop for Rent in Brookefield Bangalore,Brookefield,Bengaluru,Retail,70000.0,700.0,100.0,,
mb_p1_i15,Shop for Rent in Avenue Road Bangalore,Avenue Road,Bengaluru,Retail,60000.0,460.0,130.43,,
mb_p1_i16,Showroom for Rent in Uttarahalli Hobli Bangalore,Uttarahalli Hobli,Bengaluru,Retail,210000.0,2800.0,75.0,,
mb_p1_i17,Shop for Rent in Mysore Bank Colony JP Nagar Bangalore,Mysore Bank Colony JP Nagar,Bengaluru,Bank,12000.0,112.0,107.14,,
mb_p1_i18,Showroom for Rent in BCCHS Layout Bangalore,BCCHS Layout,Bengaluru,Retail,100000.0,2650.0,37.74,,
mb_p1_i19,Showroom for Rent in Vidyaranyapura Bangalore,Vidyaranyapura,Bengaluru,Retail,200000.0,3200.0,62.5,,
mb_p1_i20,"Shop for Rent in Project New Thippasandra, New Tippasandra Bangalore",Project New Thippasandra,Bengaluru,Retail,150000.0,1387.0,108.15,,
mb_p1_i21,"Showroom for Rent in Ashwini Layout, Ejipura Bangalore",Ashwini Layout,Bengaluru,Retail,300000.0,3000.0,100.0,,
mb_p1_i22,Showroom for Rent in Horamavu Bangalore,Horamavu,Bengaluru,Retail,140000.0,1700.0,82.35,,
mb_p1_i23,Showroom for Rent in Arekere Bangalore,Arekere,Bengaluru,Retail,300000.0,7500.0,40.0,,
mb_p1_i24,Showroom for Rent in Wilson Garden Bangalore,Wilson Garden,Bengaluru,Retail,200000.0,2200.0,90.91,,
mb_p1_i25,Shop for Rent in Devanahalli Bangalore,Devanahalli,Bengaluru,Retail,350000.0,1000.0,350.0,,
mb_p1_i26,Shop for Rent in KHB Colony Yelahanka New Town Bangalore,KHB Colony Yelahanka New Town,Bengaluru,Retail,80000.0,1000.0,80.0,,
mb_p1_i27,Shop for Rent in Individual villa Bannerghatta road to electronic City road Bangalore,Individual villa Bannerghatta road to electronic City road,Bengaluru,Retail,180000.0,400.0,450.0,,
mb_p1_i28,Shop for Rent in Block 9th Jayanagara Bangalore,Block 9th Jayanagara,Bengaluru,Retail,12000.0,500.0,24.0,,
mb_p1_i29,Shop for Rent in Annapoorneshwari Nagar Naagarabhaavi Bangalore,Annapoorneshwari Nagar Naagarabhaavi,Bengaluru,Retail,15000.0,500.0,30.0,,
mb_p2_i0,Shop for Rent in Nagondanahalli Bangalore,Nagondanahalli,Bengaluru,Retail,70000.0,1600.0,43.75,,
mb_p2_i1,Showroom for Rent in Stage 1st Domlur Bangalore,Stage 1st Domlur,Bengaluru,Retail,180000.0,2000.0,90.0,,
mb_p2_i3,"Showroom for Rent in Kumaraswamy Layout, Kumaraswamy Layout Bangalore",Kumaraswamy Layout,Bengaluru,Retail,250000.0,8000.0,31.25,,
mb_p2_i4,Showroom for Rent in Ananth Nagar Bangalore,Ananth Nagar,Bengaluru,Retail,150000.0,3150.0,47.62,,
mb_p2_i5,Shop for Rent in Andrahalli Main Road Bangalore,Andrahalli Main Road,Bengaluru,Retail,18000.0,750.0,24.0,,
